Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Hewlett-Packard Enterprise,4.3,Emerging Technologies,10k-50k Employees,Forbes Global 2000,8 years old,Houston +94 more,"Company Culture, Work Life Balance, Job Security",N/A
Megha Engineering & Infrastructures,4.0,Engineering & Construction,5k-10k Employees,Conglomerate,34 years old,Hyderabad/Secunderabad +272 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Bajaj Allianz Life Insurance,4.1,Insurance,10k-50k Employees,22 years old,Pune +476 more,Pune +476 more,"Salary & Benefits, Work Life Balance, Job Security",N/A
Mahindra & Mahindra Financial Services,4.3,NBFC,10k-50k Employees,Public,32 years old,Mumbai +621 more,"Job Security, Company Culture, Work Life Balance",N/A
Cyient,3.7,IT Services & Consulting,10k-50k Employees,Public,32 years old,Hyderabad/Secunderabad +31 more,Job Security,N/A
ICICI Lombard General Insurance Company,3.8,Insurance,10k-50k Employees,Public,22 years old,Mumbai +248 more,Job Security,N/A
D Mart,3.9,Retail,10k-50k Employees,Fortune India 500,23 years old,Mumbai +201 more,"Job Security, Company Culture",N/A
Indiamart Intermesh,3.6,Internet,1k-5k Employees,27 years old,Noida +130 more,Noida +130 more,N/A,N/A
BigBasket,4.0,Internet,10k-50k Employees,Indian Unicorn,12 years old,Bangalore +103 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Coforge,3.6,IT Services & Consulting,10k-50k Employees,Public,19 years old,Noida +82 more,N/A,N/A
Hyundai Motor,4.3,Automobile,10k-50k Employees,Fortune India 500,56 years old,Seoul +261 more,"Job Security, Salary & Benefits, Skill Development / Learning",N/A
TVS Motor,4.0,Automobile,5k-10k Employees,Public,44 years old,Chennai +257 more,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
Nagarro,4.2,IT Services & Consulting,10k-50k Employees,27 years old,Munich +36 more,Munich +36 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
Reliance Communications,3.9,Telecom,201-500 Employees,Public,21 years old,Navi Mumbai +407 more,Skill Development / Learning,N/A
Atos Syntel,3.5,IT Services & Consulting,5k-10k Employees,43 years old,Troy +21 more,Troy +21 more,N/A,Promotions / Appraisal
GlobalLogic,3.8,IT Services & Consulting,10k-50k Employees,23 years old,San Jose +31 more,San Jose +31 more,"Work Life Balance, Job Security, Company Culture","Work Life Balance, Job Security, Company Culture"
UST,3.9,IT Services & Consulting,10k-50k Employees,22 years old,Aliso Viejo +34 more,Aliso Viejo +34 more,"Work Life Balance, Company Culture",N/A
IQVIA,4.1,Clinical Research,10k-50k Employees,Forbes Global 2000,41 years old,Durham +41 more,"Job Security, Company Culture, Work Life Balance",N/A
Bosch,4.3,Auto Components,10k-50k Employees,Public,137 years old,Gerlingen +92 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Manappuram Finance,3.9,NBFC,10k-50k Employees,Public,74 years old,Thrissur/Trichur +459 more,"Skill Development / Learning, Promotions / Appraisal",N/A
Bosch Global Software Technologies,4.2,Software Product,10k-50k Employees,33 years old,Gerlingen +27 more,Gerlingen +27 more,"Job Security, Work Life Balance, Company Culture",N/A
SBI Cards & Payment Services,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cummins,4.4,Auto Components,5k-10k Employees,Fortune India 500,61 years old,Columbus +96 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Virtusa Consulting Services,3.8,IT Services & Consulting,10k-50k Employees,27 years old,Southborough +31 more,Southborough +31 more,N/A,N/A
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon +111 more,N/A,Job Security
BT Group,4.1,Telecom,10k-50k Employees,Forbes Global 2000,177 years old,London +17 more,"Job Security, Work Life Balance, Company Culture",N/A
BNY Mellon,4.1,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,19 years old,New York City +14 more,"Company Culture, Work Life Balance, Job Security",N/A
SMFG India Credit,4.1,NBFC,10k-50k Employees,16 years old,Mumbai +467 more,Mumbai +467 more,"Salary & Benefits, Job Security, Skill Development / Learning",N/A
Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,41 years old,Chesterfield +14 more,"Company Culture, Job Security",N/A
Schneider Electric,4.1,Industrial Automation,10k-50k Employees,Forbes Global 2000,24 years old,Paris +103 more,"Company Culture, Job Security, Skill Development / Learning",N/A
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,117 years old,Los Angeles +65 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,10 years old,Mumbai +199 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Cholamandalam Investment & Finance,4.1,NBFC,5k-10k Employees,Fortune India 500,45 years old,Chennai +589 more,"Salary & Benefits, Job Security, Skill Development / Learning",N/A
Intelenet Global Services,3.7,BPO,10k-50k Employees,23 years old,Mumbai +57 more,Mumbai +57 more,N/A,N/A
L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,11 years old,Vadodara/Baroda +40 more,N/A,"Promotions / Appraisal, Salary & Benefits"
State Bank of India,3.7,Banking,1 Lakh+ Employees,Fortune India 500,217 years old,Mumbai +452 more,Job Security,N/A
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,9 years old,Bangalore +173 more,Salary & Benefits,N/A
JBM Group,4.0,Auto Components,1k-5k Employees,Public,40 years old,Gurgaon/Gurugram +83 more,"Job Security, Skill Development / Learning",N/A
Dell,4.1,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,39 years old,Round Rock +88 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Ecom Express,4.0,Logistics,10k-50k Employees,11 years old,Gurgaon +582 more,Gurgaon +582 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
Equitas Small Finance Bank,4.2,Banking,10k-50k Employees,Fortune India 500,16 years old,Chennai +332 more,"Job Security, Work Life Balance, Company Culture",N/A
Ekart Logistics,4.0,Logistics,5k-10k Employees,14 years old,San Francisco +522 more,San Francisco +522 more,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
SBI Life Insurance Company,3.8,Insurance,10k-50k Employees,22 years old,Mumbai +497 more,Mumbai +497 more,Job Security,N/A
Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,78 years old,Pune +229 more,N/A,N/A
