Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Sparkline Equipments,4.0,Industrial Machinery,51-200 Employees,33 years old,Pune +8 more,Pune +8 more,"Job Security, Company Culture, Work Satisfaction",N/A
Elcomponics Sales,2.8,Electronics Manufacturing,501-1k Employees,35 years old,Noida +5 more,Noida +5 more,N/A,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
Dr. Balabhai Nanavati Hospital,4.4,Healthcare,1k-5k Employees,72 years old,Mumbai +3 more,Mumbai +3 more,"Skill Development / Learning, Job Security, Work Satisfaction",N/A
Karnataka Power Corporation,4.0,Power,10k-50k Employees,State,53 years old,Bengaluru +9 more,Work Life Balance,N/A
Nipro Medical,3.8,Healthcare,501-1k Employees,69 years old,Osaka +23 more,Osaka +23 more,"Skill Development / Learning, Job Security",N/A
Bhartiya City Developers,3.3,Real Estate,201-500 Employees,36 years old,Bengaluru +3 more,Bengaluru +3 more,N/A,"Skill Development / Learning, Promotions / Appraisal"
Excell Autovista,3.1,Automobile,501-1k Employees,19 years old,Mumbai +6 more,Mumbai +6 more,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genus Innovation,3.7,Power,201-500 Employees,25 years old,Jaipur +14 more,Jaipur +14 more,Job Security,N/A
Involute Technologies,3.6,Auto Components,51-200 Employees,41 years old,Pune +3 more,Pune +3 more,N/A,N/A
Pragmasys Consulting LLP,3.8,IT Services & Consulting,51-200 Employees,13 years old,Pune +5 more,Pune +5 more,Skill Development / Learning,N/A
Shemrock Group of Schools,4.3,Education & Training,201-500 Employees,34 years old,New Delhi +30 more,New Delhi +30 more,"Work Satisfaction, Skill Development / Learning, Work Life Balance",N/A
Mitsuba,3.7,Auto Components,51-200 Employees,26 years old,Michigan +6 more,Michigan +6 more,N/A,N/A
Kich Architectural Products,3.8,Architecture & Interior Design,51-200 Employees,20 years old,Rajkot +18 more,Rajkot +18 more,"Work Life Balance, Skill Development / Learning",N/A
JK Organisation,3.7,Auto Components,10k-50k Employees,Conglomerate,135 years old,Delhi/NCR +20 more,Job Security,N/A
Rapid Global Business Solutions,4.1,Management Consulting,201-500 Employees,26 years old,Troy +6 more,Troy +6 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Pigeon India,4.0,Consumer Electronics & Appliances,51-200 Employees,66 years old,Tokyo +12 more,Tokyo +12 more,"Work Life Balance, Job Security, Work Satisfaction",N/A
Planit Testing India,3.5,IT Services & Consulting,201-500 Employees,26 years old,Sydney +4 more,Sydney +4 more,Skill Development / Learning,N/A
M.B.A Consulting India,3.6,Financial Services,501-1k Employees,10 years old,Noida +6 more,Noida +6 more,N/A,N/A
South India Krishna Oil & Fat,4.4,Oil & Gas,1k-5k Employees,14 years old,New Delhi +3 more,New Delhi +3 more,"Job Security, Company Culture, Work Life Balance",N/A
Alexis Global,3.5,Logistics,501-1k Employees (Global),10 years old,New Delhi +20 more,New Delhi +20 more,N/A,"Promotions / Appraisal, Job Security"
Orane International,3.9,Beauty & Personal Care,201-500 Employees,14 years old,Mohali +16 more,Mohali +16 more,N/A,N/A
DM Wayanad Institute of Medical Sciences,3.7,Education & Training,1k-5k Employees,13 years old,Meppadi +2 more,Meppadi +2 more,Work Life Balance,N/A
Eos,3.3,BPO,501-1k Employees,26 years old,Thane +8 more,Thane +8 more,N/A,N/A
Hirotec,3.7,Auto Components,201-500 Employees,18 years old,New Delhi +2 more,New Delhi +2 more,Job Security,Job Security
Dr. Mehta's Hospitals,3.9,Healthcare,201-500 Employees (Global),90 years old,Chennai +4 more,Chennai +4 more,"Skill Development / Learning, Work Satisfaction, Job Security",N/A
Vegazva Engineering,3.6,IT Services & Consulting,51-200 Employees,16 years old,Gurgaon/Gurugram +5 more,Gurgaon/Gurugram +5 more,N/A,N/A
Swan Solutions & Services,4.3,IT Services & Consulting,201-500 Employees,34 years old,Mumbai +5 more,Mumbai +5 more,"Skill Development / Learning, Work Life Balance, Job Security",N/A
Al Mulla Group,4.0,Non-Profit,10k-50k Employees (Global),85 years old,Kuwait City +8 more,Kuwait City +8 more,"Work Life Balance, Job Security, Work Satisfaction",N/A
Mythri Infra,3.2,Engineering & Construction,51-200 Employees,4 years old,Visakhapatnam +8 more,Visakhapatnam +8 more,N/A,"Job Security, Promotions / Appraisal"
DiacriTech,3.2,Printing & Publishing,201-500 Employees,26 years old,Chennai +3 more,Chennai +3 more,N/A,"Company Culture, Work Life Balance, Job Security"
Indeed,4.2,Internet,1k-5k Employees,19 years old,Austin +14 more,Austin +14 more,"Salary & Benefits, Work Life Balance, Skill Development / Learning",N/A
TSYS|Total System Services,4.5,FinTech,1k-5k Employees,Public,39 years old,Columbus +2 more,"Company Culture, Job Security, Work Life Balance",N/A
Ford Technology Services India,4.3,Automobile,201-500 Employees,28 years old,Dearborn +4 more,Dearborn +4 more,"Work Life Balance, Company Culture, Job Security",N/A
Welcomhotel By ITC Hotels,4.3,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning, Work Life Balance",N/A
ASC Technology Solutions,4.6,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",N/A
Bijlipay,3.7,Financial Services,51-200 Employees,11 years old,Chennai +23 more,Chennai +23 more,N/A,N/A
Globsyn-3rdLife,2.6,IT Services & Consulting,1k-5k Employees,6 years old,calcutta +1 more,calcutta +1 more,N/A,"Job Security, Promotions / Appraisal, Salary & Benefits"
Hotel Andaz Delhi Aerocity,3.9,N/A,N/A,N/A,N/A,N/A,"Company Culture, Skill Development / Learning, Job Security",N/A
Tcs And Associates,4.0,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Life Balance, Company Culture",N/A
Reliance Infocomm Engineering,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clairvoyant India,4.1,IT Services & Consulting,201-500 Employees,9 years old,Pune +2 more,Pune +2 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
HR Spot,4.6,Education & Training,11-50 Employees,11 years old,Kolkata +4 more,Kolkata +4 more,"Job Security, Work Life Balance, Work Satisfaction",N/A
Microsoft Global Service Center,3.6,N/A,N/A,N/A,N/A,N/A,Skill Development / Learning,N/A
Cropdata Technology,3.4,Software Product,501-1k Employees,7 years old,Nagpur +9 more,Nagpur +9 more,N/A,N/A
Allyis India,3.4,IT Services & Consulting,201-500 Employees,27 years old,Hyderabad,Hyderabad,N/A,N/A
SAT n paper,4.4,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Altruistic Technology Labs,3.2,N/A,N/A,N/A,N/A,N/A,N/A,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Schenck Process India,3.5,Industrial Machinery,201-500 Employees,142 years old,Darmstadt +7 more,Darmstadt +7 more,N/A,Promotions / Appraisal
Infinium Toyota,4.3,Automobile,201-500 Employees,23 years old,Ahmedabad +6 more,Ahmedabad +6 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Business Octane Solutions,4.2,Education & Training,51-200 Employees,16 years old,Gurgaon/Gurugram +7 more,Gurgaon/Gurugram +7 more,"Skill Development / Learning, Promotions / Appraisal, Job Security",N/A
Oil Field Instrumentation,2.8,Oil & Gas,501-1k Employees,31 years old,Mumbai +9 more,Mumbai +9 more,N/A,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Kohinoor Group,3.7,Real Estate,1k-5k Employees (Global),62 years old,Mumbai +6 more,Mumbai +6 more,N/A,N/A
Finolex,4.1,Petrochemicals,1k-5k Employees,Conglomerate,65 years old,Pune +18 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Gajra Gears,3.9,Automobile,1k-5k Employees,61 years old,Dewas +9 more,Dewas +9 more,"Job Security, Work Life Balance, Work Satisfaction",N/A
Bharuch Enviro Infrastructure,4.0,Real Estate,51-200 Employees,26 years old,Ankleshwar +3 more,Ankleshwar +3 more,"Job Security, Salary & Benefits, Company Culture",N/A
Jabra Connect,4.2,Consumer Electronics & Appliances,51-200 Employees,22 years old,Noida +6 more,Noida +6 more,"Work Life Balance, Work Satisfaction, Company Culture",N/A
Wealth Clinic,3.4,Real Estate,501-1k Employees (Global),11 years old,Noida +3 more,Noida +3 more,N/A,Promotions / Appraisal
NexWave Talent Management Solutions,4.3,IT Services & Consulting,51-200 Employees,16 years old,Atlanta +7 more,Atlanta +7 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Bharat Petroleum Mumbai Refinery,4.2,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Company Culture, Work Satisfaction",N/A
Log 9 Materials Scientific,3.9,Electronics Manufacturing,201-500 Employees,8 years old,Bengaluru/Bangalore +6 more,Bengaluru/Bangalore +6 more,"Company Culture, Salary & Benefits",N/A
Digicommerce Solutions,4.4,N/A,N/A,N/A,N/A,N/A,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Saarloha Advanced Materials,3.4,N/A,N/A,N/A,N/A,N/A,N/A,Promotions / Appraisal
ITILITE,3.2,Software Product,51-200 Employees,Startup,6 years old,Bangalore +6 more,N/A,"Job Security, Promotions / Appraisal"
Pradhan Mantri Kaushal Kendra,4.2,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Ben & Gaws,4.8,N/A,N/A,N/A,N/A,N/A,"Company Culture, Promotions / Appraisal, Work Satisfaction",N/A
Specsmakers Opticians,4.1,Retail,501-1k Employees,16 years old,Chennai +8 more,Chennai +8 more,"Job Security, Company Culture, Work Satisfaction",N/A
New Holland,4.3,N/A,N/A,N/A,N/A,N/A,"Work Satisfaction, Company Culture, Skill Development / Learning",N/A
Sirca Paints India,4.2,Chemicals,51-200 Employees,Public,17 years old,Delhi/NCR +17 more,"Work Life Balance, Salary & Benefits",N/A
Krishna Enterprises,3.8,Industrial Machinery,1-10 Employees,6 years old,Noida +31 more,Noida +31 more,"Skill Development / Learning, Work Life Balance",N/A
A-Check Global,3.8,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Life Balance",N/A
Promaestro Techsource,4.6,IT Services & Consulting,51-200 Employees,15 years old,Hyderabad +2 more,Hyderabad +2 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Solaimalai Enterprises,3.8,Logistics,501-1k Employees,28 years old,Madurai +16 more,Madurai +16 more,Skill Development / Learning,N/A
Cellplan Technologies,3.4,Telecom,51-200 Employees,20 years old,Pune +14 more,Pune +14 more,N/A,Job Security
Quotient Technology,4.3,IT Services & Consulting,201-500 Employees,Public,25 years old,Salt Lake City +1 more,"Work Life Balance, Company Culture, Salary & Benefits",N/A
FINE COMPONENTS AND TOOLS,3.6,Industrial Machinery,501-1k Employees,26 years old,Bengaluru +3 more,Bengaluru +3 more,N/A,N/A
R.K. Group,3.9,Real Estate,51-200 Employees,39 years old,Kolkata +25 more,Kolkata +25 more,Skill Development / Learning,N/A
Juspay Technologies,4.0,FinTech,51-200 Employees,Startup,11 years old,Bengaluru/Bangalore +5 more,"Skill Development / Learning, Company Culture, Job Security",N/A
sifars,4.8,IT Services & Consulting,11-50 Employees,6 years old,Patiala,Patiala,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Minanshika Softech Solution,4.2,BPO,11-50 Employees,4 years old,Kolkata +9 more,Kolkata +9 more,"Work Satisfaction, Job Security, Salary & Benefits",N/A
Hirva HR Solutions,4.5,Recruitment,51-200 Employees,3 years old,Surat +30 more,Surat +30 more,"Work Satisfaction, Company Culture, Skill Development / Learning",N/A
Devon Software Services,4.2,Software Product,201-500 Employees,19 years old,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Gmoney Pvt. Ltd.,3.8,Financial Services,51-200 Employees,4 years old,Mumbai +11 more,Mumbai +11 more,Salary & Benefits,N/A
KGL,3.5,N/A,N/A,N/A,N/A,N/A,N/A,"Promotions / Appraisal, Salary & Benefits"
East West Seeds,4.5,FMCG,51-200 Employees,41 years old,Nonthaburi +15 more,Nonthaburi +15 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Maya Digital Studios,3.3,Animation & VFX,201-500 Employees,27 years old,Mumbai +4 more,Mumbai +4 more,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Freshersworld.com,3.9,Recruitment,1k-5k Employees,17 years old,Bangalore +17 more,Bangalore +17 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Schenck Process India,3.5,Industrial Machinery,201-500 Employees,142 years old,Darmstadt +7 more,Darmstadt +7 more,N/A,Promotions / Appraisal
Admiral Solutions,4.1,IT Services & Consulting,201-500 Employees,15 years old,Sydney +2 more,Sydney +2 more,"Salary & Benefits, Job Security, Company Culture",N/A
Infinium Toyota,4.3,Automobile,201-500 Employees,23 years old,Ahmedabad +6 more,Ahmedabad +6 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Getronics,4.0,IT Services & Consulting,201-500 Employees,136 years old,Amsterdam +8 more,Amsterdam +8 more,"Work Life Balance, Company Culture, Job Security",N/A
Lincoln Electric,3.7,Electrical Equipment,51-200 Employees,128 years old,Cleveland +2 more,Cleveland +2 more,Salary & Benefits,N/A
Associated Power Structures,4.2,Oil & Gas,501-1k Employees,27 years old,Vadodara +12 more,Vadodara +12 more,"Work Life Balance, Job Security",N/A
Sri Sri Ravishankar Vidya Mandir,3.6,EdTech,201-500 Employees,24 years old,Bangalore/Bengaluru +13 more,Bangalore/Bengaluru +13 more,Salary & Benefits,N/A
Jayabheri Automotives,3.9,Engineering & Construction,201-500 Employees,36 years old,Hyderabad +6 more,Hyderabad +6 more,Skill Development / Learning,N/A
BRG Group,3.5,Metals & Mining,1k-5k Employees (Global),29 years old,Kolkata +7 more,Kolkata +7 more,N/A,N/A
Benzo Chem Industries,3.6,Chemicals,51-200 Employees,41 years old,Mumbai +7 more,Mumbai +7 more,N/A,N/A
Microgen Hygiene,2.7,Healthcare,51-200 Employees,MNC,16 years old,Mumbai +10 more,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
SIP Academy,4.5,Education & Training,51-200 Employees,20 years old,Chennai +25 more,Chennai +25 more,"Skill Development / Learning, Company Culture, Job Security",N/A
OPK e Services,3.7,N/A,N/A,N/A,N/A,N/A,Company Culture,N/A
STP,3.8,Auto Components,201-500 Employees,28 years old,Whiteley +19 more,Whiteley +19 more,N/A,N/A
Gp Petroleums,3.5,Chemicals / Agri Inputs,201-500 Employees,Public,40 years old,Mumbai +15 more,N/A,N/A
Secure Network Solutions,4.5,IT Services & Consulting,51-200 Employees,23 years old,Chennai +9 more,Chennai +9 more,"Skill Development / Learning, Job Security, Work Satisfaction",N/A
Orient Abrasives,4.3,Metals & Mining,51-200 Employees,Public,49 years old,Mumbai +4 more,"Company Culture, Work Satisfaction, Salary & Benefits",N/A
Neural IT,3.1,Financial Services,51-200 Employees,19 years old,New York +1 more,New York +1 more,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
Al Ayuni Investment and Contracting,4.2,Engineering & Construction,1k-5k Employees,63 years old,Riyadh  +5 more,Riyadh  +5 more,"Work Life Balance, Job Security, Work Satisfaction",N/A
Arki Techno Consultants,3.0,Engineering & Construction,201-500 Employees,16 years old,Bhubaneswar +12 more,Bhubaneswar +12 more,N/A,"Salary & Benefits, Promotions / Appraisal, Skill Development / Learning"
INIFD,3.4,Education & Training,51-200 Employees (Global),28 years old,Chandigarh +31 more,Chandigarh +31 more,N/A,"Promotions / Appraisal, Job Security"
Avantel,4.0,Hardware & Networking,51-200 Employees,Public,33 years old,Hyderabad/Secunderabad +4 more,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",N/A
Sterling Infosystems,3.7,IT Services & Consulting,1k-5k Employees,48 years old,New York +4 more,New York +4 more,Salary & Benefits,N/A
Icreon Communications,3.9,IT Services & Consulting,201-500 Employees,23 years old,New York +3 more,New York +3 more,Company Culture,N/A
Arshiya International,3.8,Logistics,201-500 Employees,Public,42 years old,Mumbai +8 more,Skill Development / Learning,N/A
Cornerstone OnDemand,4.1,Software Product,501-1k Employees,Conglomerate,24 years old,Santa Monica +4 more,"Salary & Benefits, Work Life Balance",N/A
Pearson,4.3,Education & Training,10k-50k Employees (Global),Conglomerate,179 years old,London +12 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
OpenXcell Technolabs,4.1,IT Services & Consulting,201-500 Employees,14 years old,Las Vegas +3 more,Las Vegas +3 more,"Work Life Balance, Job Security, Company Culture",N/A
D2K Technologies India,3.5,IT Services & Consulting,51-200 Employees,22 years old,Mumbai +4 more,Mumbai +4 more,N/A,N/A
Sportking,3.7,Fashion & Textile,1k-5k Employees,Public,34 years old,Ludhiana +8 more,N/A,Promotions / Appraisal
Amtech Electronics,4.0,Electronics Manufacturing,201-500 Employees,36 years old,Gandhinagar +5 more,Gandhinagar +5 more,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",N/A
Johnson Electric,3.7,Electronics Manufacturing,51-200 Employees,64 years old,Shatin +6 more,Shatin +6 more,N/A,N/A
Schenck Rotec,4.3,Auto Components,51-200 Employees,28 years old,Darmstadt +8 more,Darmstadt +8 more,"Work Life Balance, Job Security, Company Culture",N/A
ANAAMALAIS TOYOTA,4.3,Financial Services,1k-5k Employees,23 years old,Coimbatore +17 more,Coimbatore +17 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Good Health Tpa Services,3.3,Insurance,1k-5k Employees,20 years old,Hyderabad +12 more,Hyderabad +12 more,N/A,"Promotions / Appraisal, Salary & Benefits, Job Security"
Arkade Group,4.7,Real Estate,51-200 Employees,37 years old,Mumbai +3 more,Mumbai +3 more,"Company Culture, Work Satisfaction, Job Security",N/A
HTC,3.5,Consumer Electronics & Appliances,1-10 Employees,26 years old,Taoyuan +24 more,Taoyuan +24 more,N/A,N/A
MSR IT Solution,3.8,IT Services & Consulting,51-200 Employees,20 years old,Kolkata +3 more,Kolkata +3 more,N/A,N/A
Skilrock Technologies,3.8,IT Services & Consulting,51-200 Employees,16 years old,Gurgaon/Gurugram,Gurgaon/Gurugram,"Work Life Balance, Job Security, Company Culture",N/A
Air Comfort Solutions,3.2,Non-Profit,51-200 Employees (Global),25 years old,Duluth +19 more,Duluth +19 more,N/A,"Promotions / Appraisal, Job Security"
New Horizon College of Engineering,3.9,Education & Training,201-500 Employees,22 years old,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,Work Life Balance,N/A
Smiths Detection,3.6,Defence & Aerospace,1k-5k Employees,73 years old,London +9 more,London +9 more,Work Life Balance,N/A
Kohinoor Group,3.7,Real Estate,1k-5k Employees (Global),62 years old,Mumbai +6 more,Mumbai +6 more,N/A,N/A
Finolex,4.1,Petrochemicals,1k-5k Employees,Conglomerate,65 years old,Pune +18 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Oil Field Instrumentation,2.8,Oil & Gas,501-1k Employees,31 years old,Mumbai +9 more,Mumbai +9 more,N/A,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Phoenix Mecano,4.1,Industrial Machinery,201-500 Employees,48 years old,Stein am Rhein +7 more,Stein am Rhein +7 more,"Job Security, Work Life Balance, Company Culture",N/A
Lotus Valley International School,3.9,Education & Training,201-500 Employees,19 years old,Noida +6 more,Noida +6 more,Skill Development / Learning,N/A
Alice Blue Commodities,3.7,FinTech,501-1k Employees,17 years old,Bangalore/Bengaluru +17 more,Bangalore/Bengaluru +17 more,N/A,N/A
Advanced Medtech Solutions,3.7,Medical Equipment,51-200 Employees,10 years old,Vadodara +11 more,Vadodara +11 more,N/A,N/A
Business Octane Solutions,4.2,Education & Training,51-200 Employees,16 years old,Gurgaon/Gurugram +7 more,Gurgaon/Gurugram +7 more,"Skill Development / Learning, Promotions / Appraisal, Job Security",N/A
Jaya Shree Textiles,3.5,Fashion & Textile,51-200 Employees,74 years old,Hooghly +5 more,Hooghly +5 more,Job Security,Job Security
Rajhans (Desai-Jain) Group,3.3,Real Estate,201-500 Employees,27 years old,Surat +10 more,Surat +10 more,N/A,Promotions / Appraisal
AVON Facility Management Services,4.4,Facility Management Services,10k-50k Employees (Global),16 years old,Bengaluru +18 more,Bengaluru +18 more,"Work Life Balance, Promotions / Appraisal, Skill Development / Learning",N/A
SVG Express Services,3.3,BPO,1k-5k Employees (Global),21 years old,Jaipur +10 more,Jaipur +10 more,N/A,"Promotions / Appraisal, Job Security"
Saya homes,3.4,Real Estate,201-500 Employees,23 years old,Ghaziabad +3 more,Ghaziabad +3 more,N/A,"Job Security, Skill Development / Learning, Work Satisfaction"
Brightsun Travel,3.4,Travel & Tourism,11-50 Employees,37 years old,Gurgaon/Gurugram +2 more,Gurgaon/Gurugram +2 more,N/A,Promotions / Appraisal
Bellfast Management,3.9,Recruitment,11-50 Employees,28 years old,Bangalore/Bengaluru +18 more,Bangalore/Bengaluru +18 more,"Work Life Balance, Work Satisfaction, Skill Development / Learning",N/A
Popular Hyundai,3.7,Retail,1k-5k Employees,19 years old,Kochi +9 more,Kochi +9 more,N/A,N/A
Bubugao Communication,4.3,N/A,N/A,N/A,N/A,N/A,"Company Culture, Job Security, Skill Development / Learning",N/A
Cambridge International School,4.4,Education & Training,1k-5k Employees,10 years old,Nawanshahr +20 more,Nawanshahr +20 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
Shreeja Mahila Milk Producer Company,4.2,N/A,N/A,N/A,N/A,N/A,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
CENTRUM HOUSING FINANCE,3.8,Financial Services,51-200 Employees,Public,7 years old,Mumbai +34 more,Work Life Balance,N/A
Simon India,3.6,Oil & Gas,51-200 Employees,20 years old,Delhi/NCR +13 more,Delhi/NCR +13 more,Work Life Balance,Work Life Balance
E C R Buildtech,4.1,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Work Satisfaction, Job Security",N/A
Inamdar Multispeciality Hospital,4.2,Healthcare,201-500 Employees,13 years old,Pune +1 more,Pune +1 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Rohini Industrial Electricals,4.2,Electrical Equipment,201-500 Employees,Public,40 years old,Mumbai +15 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Freight Systems,3.8,Ports & Shipping,501-1k Employees,Public,35 years old,Dubai +13 more,N/A,N/A
Gmoney Pvt. Ltd.,3.8,Financial Services,51-200 Employees,4 years old,Mumbai +11 more,Mumbai +11 more,Salary & Benefits,N/A
Saarloha Advanced Materials,3.4,N/A,N/A,N/A,N/A,N/A,N/A,Promotions / Appraisal
ITILITE,3.2,Software Product,51-200 Employees,Startup,6 years old,Bangalore +6 more,N/A,"Job Security, Promotions / Appraisal"
Minanshika Softech Solution,4.2,BPO,11-50 Employees,4 years old,Kolkata +9 more,Kolkata +9 more,"Work Satisfaction, Job Security, Salary & Benefits",N/A
Hirva HR Solutions,4.5,Recruitment,51-200 Employees,3 years old,Surat +30 more,Surat +30 more,"Work Satisfaction, Company Culture, Skill Development / Learning",N/A
JSW One Platforms,2.8,Building Material,201-500 Employees,3 years old,Mumbai +8 more,Mumbai +8 more,N/A,"Work Satisfaction, Skill Development / Learning, Company Culture"
Stats Perform,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Devon Software Services,4.2,Software Product,201-500 Employees,19 years old,Bangalore/Bengaluru +2 more,Bangalore/Bengaluru +2 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
sifars,4.8,IT Services & Consulting,11-50 Employees,6 years old,Patiala,Patiala,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Log 9 Materials Scientific,3.9,Electronics Manufacturing,201-500 Employees,8 years old,Bengaluru/Bangalore +6 more,Bengaluru/Bangalore +6 more,"Company Culture, Salary & Benefits",N/A
Bharat Petroleum Mumbai Refinery,4.2,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Company Culture, Work Satisfaction",N/A
New Holland,4.3,N/A,N/A,N/A,N/A,N/A,"Work Satisfaction, Company Culture, Skill Development / Learning",N/A
Pradhan Mantri Kaushal Kendra,4.2,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Ben & Gaws,4.8,N/A,N/A,N/A,N/A,N/A,"Company Culture, Promotions / Appraisal, Work Satisfaction",N/A
ESL Steel,3.8,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Skill Development / Learning",N/A
Accutech Power Solutions,3.8,Consumer Electronics & Appliances,501-1k Employees,53 years old,Mumbai +7 more,Mumbai +7 more,N/A,N/A
Mobulous Technologies,4.6,IT Services & Consulting,51-200 Employees,10 years old,Noida +3 more,Noida +3 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Premier Irrigation Adritec,3.7,Agriculture,501-1k Employees,Public,58 years old,Kolkata +19 more,N/A,Promotions / Appraisal
Boutique International,4.0,Fashion & Textile,51-200 Employees,40 years old,Noida +11 more,Noida +11 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
LARVOL,3.9,Pharma,51-200 Employees,19 years old,San Francisco +8 more,San Francisco +8 more,N/A,N/A
ORIX Leasing & Financial Services,4.6,Financial Services,51-200 Employees,28 years old,Mumbai +19 more,Mumbai +19 more,"Work Life Balance, Company Culture, Job Security",N/A
Anand Engineering Products,3.8,Engineering & Construction,201-500 Employees,47 years old,Tiruchirappalli +4 more,Tiruchirappalli +4 more,Skill Development / Learning,Skill Development / Learning
Bhutani Group,3.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dash Technologies Inc,4.3,IT Services & Consulting,201-500 Employees,13 years old,Ahmedabad +5 more,Ahmedabad +5 more,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
Dynata,3.8,Analytics & KPO,5k-10k Employees,83 years old,Plano +6 more,Plano +6 more,N/A,N/A
Hitachi MGRM Net,3.2,IT Services & Consulting,1k-5k Employees,5 years old,New Delhi +6 more,New Delhi +6 more,N/A,N/A
Emonics,3.9,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Work Life Balance, Work Satisfaction",N/A
Continuum Global Solutions,3.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nichino,4.0,N/A,N/A,N/A,N/A,N/A,Work Life Balance,N/A
Transport Solutions India,3.8,Automobile,51-200 Employees,23 years old,Mumbai +10 more,Mumbai +10 more,N/A,Promotions / Appraisal
Rohilkhand Medical College And Hospital,3.8,Healthcare,201-500 Employees,17 years old,Bareilly +6 more,Bareilly +6 more,Job Security,N/A
Xiaomi Service Center,4.4,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Company Culture, Work Satisfaction",N/A
DPS International,3.7,Education & Training,51-200 Employees,9 years old,Gurgaon/Gurugram +22 more,Gurgaon/Gurugram +22 more,N/A,N/A
Ess Kay Fabrication,3.4,Engineering & Construction,11-50 Employees,32 years old,Gurgaon/Gurugram +4 more,Gurgaon/Gurugram +4 more,N/A,N/A
Della Group,3.0,Architecture & Interior Design,501-1k Employees,27 years old,Mumbai +2 more,Mumbai +2 more,N/A,"Work Life Balance, Job Security, Work Satisfaction"
Rajwada Group,3.8,Real Estate,11-50 Employees,23 years old,Kolkata +2 more,Kolkata +2 more,N/A,N/A
IServeU,3.0,FinTech,51-200 Employees,7 years old,Bhubaneswar +4 more,Bhubaneswar +4 more,N/A,"Company Culture, Promotions / Appraisal, Job Security"
Srinivasa Farms,4.0,Food Processing,1k-5k Employees,58 years old,Hyderabad/Secunderabad +10 more,Hyderabad/Secunderabad +10 more,"Job Security, Work Life Balance, Company Culture",N/A
Foodhub,3.9,Software Product,501-1k Employees,2 years old,Stoke-on-Trent +3 more,Stoke-on-Trent +3 more,"Company Culture, Salary & Benefits",N/A
